1, National Air Cargo Group Inc d/ba National Airlines	,6654310	,14211250	,47%
2,	Sun Country Airlines d/b/a MN Airlines	,41796880	,112665140	,37%
3,	Sky Lease Cargo	,12751300	,34567730	,37%
4,	Asia Pacific	,2282950	,7117120	,32%
5,	Allegiant Air	,105951020	,336586030	,31%
6,	United Parcel Service	,446721970	,1421273860	,31%
7,	Elite Airways LLC	,4520160	,14836120	,30%
8,	Polar Air Cargo Airways	,98162000	,332542840	,30%
9,	Frontier Airlines Inc.	,134039320	,468075590	,29%
10,	Spirit Air Lines	,204645640	,742934720	,28%
11,	JetBlue Airways	,416959600	,1624441400	,26%
12,	Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo	,3645490	,14686310	,25%
13,	Gulf And Caribbean Cargo	,3257610	,13413330	,24%
14,	Southwest Airlines Co.	,1017890000	,4327286000	,24%
15,	Kalitta Charters II	,2273630	,9743040	,23%
16,	Omni Air International LLC	,21035790	,92447290	,23%
17,	Hawaiian Airlines Inc.	,132942650	,624565360	,21%
18,	Amerijet International	,12875340	,62827110	,20%
19,	Alaska Airlines Inc.	,369403000	,1817204000	,20%
20,	Atlas Air Inc.	,96302500	,506339520	,19%
21,	XTRA Airways	,4178710	,22252380	,19%
22,	United Air Lines Inc.	,1611761920	,8755144970	,18%
23,	American Airlines Inc.	,1765270810	,9951117530	,18%
24,	Miami Air International	,5915880	,33756040	,18%
25,	Northern Air Cargo Inc.	,3693340	,21289330	,17%
26,	Delta Air Lines Inc.	,1561010000	,9095452000	,17%
27,	Western Global	,5986320	,40776830	,15%
28,	Kalitta Air LLC	,28100110	,195227720	,14%
29,	Lynden Air Cargo Airlines	,3297680	,23012160	,14%
30,	Eastern Airlines f/k/a Dynamic Airways LLC	,304850	,2506840	,12%
31,	Aloha Air Cargo	,2867470	,26874410	,11%
32,	Air Transport International	,4997930	,53847580	,9%
33,	Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines	,615100	,8618630	,7%
34,	Federal Express Corporation	,588328000	,8595138000	,7%
35,	SkyWest Airlines Inc.	,26934000	,563982000	,5%
36,	ExpressJet Airlines Inc.	,1478560	,166822460	,1%
37,	Endeavor Air Inc.	,1169520	,158696230	,1%
38,	ABX Air Inc	,389550	,59104420	,1%
39,	Compass Airlines	,152620	,57814860	,0%
40,	GoJet Airlines LLC d/b/a United Express	,123020	,56349810	,0%
41,	Republic Airline	,535490	,273191740	,0%
42,	Mesa Airlines Inc.	,129590	,150854610	,0%
43,	Horizon Air	,0	,104320000	,0%
44,	Envoy Air	,0	,313480130	,0%
45,	PSA Airlines Inc.	,0	,163154500	,0%
46,	Southern Air Inc.	,0	,19425270	,0%
